,Foundation,Price USD,Ounces,Price/Ounce,Shade Range,Release Year,Shade Distribution comment,,Brand,Rating (1-4),Has Darker Shades,Brand Tier
1,MAC Studio Fix Fluid,30,1,30,42,,PERFECT. All shades and all undertones.,,MAC,4,1,Sephora/Ulta
2,MUFE Ultra HD Foundation,43,1.01,42.6,40,2013,Amazing.,,MUFE,4,1,Sephora/Ulta
3,Fenty Beauty Pro Filt'r,34,1.08,31.5,40,2017,Amazing.Covers a wide range of colors and undertones.,,Fenty Beauty,4,1,Sephora/Ulta
4,Lancôme Teint Idole Foundation,47,1,47,40,2015,Perfect. The darkest shade I've seen thus far.,,Lacome,4,1,Highend/Luxury
5,NARS Natural Radiant Longwear,49,1,49,33,2017,"UH-may-zing. Beautiful pale, deep and medium shades.",,NARS,4,1,Sephora/Ulta
6,Hourglass Vanish,46,0.25,184,32,2017,Amazing. Great colours for everyone.,,Hourglass,4,1,Sephora/Ulta
7,Maybelline Fit Me Matte & Poreless,85,1,8,32,2015,Amazing. Prettily evenly distributed range.,,Maybelline,4,1,Drugstore
8,L'oreal True Match,11,1,11,32,2015,UH-may-zing. Caters to every single skin color!,,L'Oreal,4,1,Drugstore
9,Bobbi Brown Stick Foundation,46,0.31,148.4,31,2014,Perfect.,,Bobbi Brown,4,1,Sephora/Ulta
10,KVD Lock It,35,1,35,30,2016,Amazing. There's undertones for each shade too.,,KVD,4,1,Sephora/Ulta
11,BareMienrals barePRO Performance Wear,34,1,34,30,2017,"Bad. 1 entire row of fair and then 1 row of medium, tan, dark, deep.",,BareMinerals,1,0,Sephora/Ulta
12,ABH Stick Foundation,25,0.32,78.1,30,2016,"Alright - 11L, 11Deep/Dark/Latte, 8M-T. Weird shade choices.",,ABH,2,1,Sephora/Ulta
13,HUDA #FauxFilter,40,1.18,33.9,30,2017,P.Good - Needs more in between shades in dark section.,,HUDA,3,1,Sephora/Ulta
14,Bobbi Brown Skin Long Wear,46,1,46,30,2018,Almost perfect. There could be darker shades.,,Bobbi Brown,3,1,Sephora/Ulta
15,Bobbi Brown Skin Foundation,50,1,50,30,2015,Almost perfect. There could be darker shades.,,Bobbi Brown,3,1,Sephora/Ulta
16,Lancôme Teint Idole Stick Foundation,42,0.31,135.5,30,2016,Perfect.,,Lacome,4,1,Highend/Luxury
17,NYX Total Control Drops,14,0.43,32.6,29,2017,Amazing - Truly has something for everyone.,,NYX,4,1,Drugstore
18,UD Naked Skin Weightless Ultra Definition,40,1,40,26,2013,"Great - 8L, 2ML, 4M, 5MD, 7D.",,Urban Decay,4,1,Sephora/Ulta
19,Cover FX Custom Cover Drops,44,0.5,88,25,2015,Amazing.,,Cover FX,4,1,Sephora/Ulta
20,Dior Foreverskin,52,1,52,24,2017,"Bad for darker shades - 14 Light-Beige, 3""Dark""",,Dior,2,1,Highend/Luxury
21,UD All-Nighter,40,1,40,24,2017,"Bad - Not evenly distributed shade range. 6 dark, 1 deep",,Urban Decay,2,1,Sephora/Ulta
22,MAC Pro Longwear Liquid Foundation,35,1,35,24,,Great. Very inclusive. Could use paler/darker shades.,,MAC,4,1,Sephora/Ulta
23,Giorgio Armani Luminous Silk,64,1,64,24,,Good. Could use in between shades esp. in dark/deep section.,,Giorgio Armani,2,1,Highend/Luxury
24,Too Faced Born This Way,39,1,39,24,2015,P.Good. - Decent. Could use extending the pale+deep range.,,Too Faced,3,1,Sephora/Ulta
25,Tarte Amazonian Clay,39,1.7,22.9,23,2013,Very bad. There are 2 dark shades out of 23...and 11 light.,,Tarte,1,1,Sephora/Ulta
26,MAC Studio Waterweight,35,1,35,23,2015,Great. Very inclusive. Could use paler/darker shades.,,MAC,4,1,Sephora/Ulta
27,Smashbox Studio Skin 15 HR Wear Hydration,42,1,42,22,2016,Okay - 2 shades for deep/dark. Could use 3/5 darker shades.,,Smashbox,2,1,Sephora/Ulta
28,YSL All Hours,58,0.84,58,22,2017,SHIT. There's ONE dark shade. ONE. Out of 22.,,YSL,1,1,Highend/Luxury
29,Marc Jacobs Re(marc)able,55,0.75,73.3,22,2015,Very bad. 2 dark shades thata rent even dark/deep enough.,,Marc Jacobs,1,1,Highend/Luxury
30,Revlon Colorstay,13,1,13,22,2016,Really good. Evenly distributed range. Could use 1-2 darker shades.,,Revlon,3,1,Drugstore
31,Clinique Beyond Perfecting,27,1,27,21,2016,Bad - 1/3 of the shades cater to MD. Darkest shade is...clove.,,Clinque,1,1,Sephora/Ulta
32,The Ordinary Foundations,11,1,11,21,2016,Very Good. Could use 2-3 darker shades though.,,The Ordinary Foundations,3,1,Drugstore
33,Tarte Rainforest of the Sea Foundation,39,1,39,21,2016,Very bad. 4 Dark Shades. 6 medium. 11 light/beige.,,Tarte,1,1,Sephora/Ulta
34,Wet 'n' Wild Photofocus Foundation,6,1,6,20,2017,Good - P.even. Could use darker shades.,,Wet 'n' Wild,3,1,Drugstore
35,NARS All Day Luminous,49,1,49,20,2015,"Good - 5L, 6M, 5 MD, 4D. Covers multiple undertones. ",,NARS,3,1,Sephora/Ulta
36,MUFE Ultra HD Stick,43,0.44,97.7,20,2016,Great - Evenly distributed despite the few shades.,,MUFE,4,1,Sephora/Ulta
37,La Mer Soft Fluid Longwear,110,1,110,20,2016,P.Good. - Could use some in-between shades.,,La Mer,3,1,Uber Luxury
38,Laura Mercier Flawless Fusion Ultra-wear,48,1,48,20,2017,WORST. 1 dark shade that is 'coffee' at best.,,Laura Mercier,1,0,Sephora/Ulta
39,Laura Mercier Candleglow Soft Luminous,48,1,48,20,2016,WORST. 1 dark shade that is 'coffee' at best.,,Laura Mercier,1,0,Sephora/Ulta
40,MUFE Waterblend Foundation,43,1,43,20,2016,P.Good. Evenly Distributed.,,MUFE,3,1,Sephora/Ulta
41,NARS Velvet Matte Foundation Stick,45,0.31,145.2,20,2017,P.Good - P.even but could use more shades in between.,,NARS,3,1,Sephora/Ulta
42,Milani Conceal + Perfect,10,1,10,19,2016,Alright - Could use some darker shades for sure.,,Milani,2,1,Drugstore
43,Kokie Skin Perfect,13,1.01,12.9,18,2017,Great - Caters to diff. undertones as well.,,Kokie,4,1,Drugstore
44,Jouer Essential High Coverage,38,0.68,47.5,17,2017,Very bad. 3 dark shades and none dark enough.,,Jouer,1,0,Sephora/Ulta
45,Maybelline Superstay,12,1,12,16,2017,P.Good. - Decent. Could use extending the pale+deep range.,,Maybelline,3,1,Drugstore
46,Stila Stay All Day Foundation,40,1,40,16,2014,Alright - Could use a lot of in between shades.,,Stila,2,1,Sephora/Ulta
47,Physicians Formula Healthy Foundation,15,1,15,16,2017,P.Good - P.evenly distributed. Could use lighter/deeper shades.,,Physician's Formula,3,1,Drugstore
48,MILK Makeup Blur Liquid Matte,40,1,40,16,2017,Good - Could use even darker and paler shades.,,MILK,3,1,Sephora/Ulta
49,L.A Girl Pro Coverage,10,1,10,15,2016,Good - Most colors are in the M-MT category.,,L.A. Girl,3,1,Drugstore
50,Rimmel Stay Matte Liquid Mousse,5.48,1.44,3.8,15,2014,P.Bad. There are limited dark shades but weird undertones.,,Rimmel,1,1,Drugstore
